((11, 6, 4, 8), (12, 15, 16, 14), (1, 5, 13, 10), (3, 7, 9, 2))
((7, 16, 11, 4), (5, 2, 10, 1), (6, 13, 15, 3), (12, 8, 9, 14))
((1, 11, 12, 2), (13, 8, 10, 7), (5, 3, 9, 4), (16, 14, 6, 15))
((1, 16, 10, 4), (11, 15, 2, 12), (5, 7, 8, 3), (9, 13, 6, 14))
((2, 4, 16, 8), (12, 13, 14, 5), (9, 15, 7, 11), (3, 10, 1, 6))
((2, 14, 8, 11), (6, 12, 9, 3), (5, 1, 10, 15), (7, 13, 4, 16))
((15, 3, 10, 13), (14, 4, 5, 16), (1, 7, 12, 11), (2, 8, 6, 9))
((7, 13, 4, 8), (12, 2, 11, 9), (10, 15, 6, 5), (1, 16, 3, 14))
((1, 5, 7, 9), (14, 2, 13, 12), (6, 11, 3, 4), (10, 15, 16, 8))
((11, 6, 5, 9), (15, 12, 1, 8), (10, 13, 4, 14), (3, 2, 7, 16))
((1, 10, 3, 15), (6, 2, 8, 14), (11, 16, 4, 5), (13, 7, 12, 9))
((9, 6, 8, 7), (3, 16, 4, 5), (13, 15, 12, 1), (2, 10, 11, 14))
((11, 4, 15, 7), (8, 14, 2, 13), (3, 12, 9, 6), (5, 16, 10, 1))
((9, 2, 12, 15), (5, 4, 8, 16), (3, 14, 1, 13), (7, 11, 6, 10))
((3, 13, 5, 9), (8, 15, 12, 11), (4, 16, 1, 14), (6, 7, 2, 10))
((16, 1, 5, 7), (12, 11, 8, 13), (9, 2, 15, 14), (4, 6, 3, 10))
((9, 5, 14, 7), (10, 2, 8, 3), (6, 11, 13, 1), (15, 16, 4, 12))
((11, 8, 6, 5), (12, 7, 10, 13), (1, 14, 3, 9), (4, 2, 15, 16))
((5, 11, 1, 4), (14, 6, 7, 2), (15, 16, 8, 3), (12, 13, 9, 10))
((6, 12, 2, 13), (11, 1, 14, 8), (10, 5, 9, 4), (3, 16, 7, 15))
