Search Path:
State: [[1, 10, 3, 15], [6, 2, 8, 14], [11, 16, 4, 5], [13, 7, 12, 9]] Level: 0 F-value:(17.0, 17.0)
State: [[1, 2, 3, 15], [6, 10, 8, 14], [11, 16, 4, 5], [13, 7, 12, 9]] Level: 1 F-value:(17.0, 16.0)
State: [[1, 2, 3, 15], [6, 10, 8, 14], [11, 16, 5, 4], [13, 7, 12, 9]] Level: 2 F-value:(17.0, 15.0)
State: [[1, 2, 3, 15], [6, 10, 8, 4], [11, 16, 5, 14], [13, 7, 12, 9]] Level: 3 F-value:(17.0, 14.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 16, 5, 14], [13, 7, 12, 9]] Level: 4 F-value:(17.0, 13.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 16, 14], [13, 7, 12, 9]] Level: 5 F-value:(17.0, 12.0)
State: [[1, 2, 3, 4], [6, 5, 8, 15], [11, 10, 16, 14], [13, 7, 12, 9]] Level: 6 F-value:(17.0, 11.0)
State: [[1, 2, 3, 4], [5, 6, 8, 15], [11, 10, 16, 14], [13, 7, 12, 9]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 16, 14], [13, 7, 12, 9]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 16, 9], [13, 7, 12, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 9, 16], [13, 7, 12, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 9, 16], [13, 7, 14, 12]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 9, 16], [13, 14, 7, 12]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 9, 12], [13, 14, 7, 16]] Level: 13 F-value:(17.0, 4.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 9, 12], [13, 7, 14, 16]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 12, 9], [13, 7, 16, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 12, 9], [13, 7, 14, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 12, 9], [13, 14, 7, 16]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 9, 12], [13, 7, 16, 14]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 16, 9], [13, 7, 14, 12]] Level: 10 F-value:(17.0, 7.0)
