Search Path:
State: [[6, 4, 2], [3, 1, 7], [5, 8, 9]] Level: 0 F-value:(7, 7)
State: [[6, 2, 4], [3, 1, 7], [5, 8, 9]] Level: 1 F-value:(7, 6)
State: [[6, 2, 4], [3, 7, 1], [5, 8, 9]] Level: 2 F-value:(8, 6)
State: [[6, 2, 4], [1, 3, 7], [5, 8, 9]] Level: 2 F-value:(8, 6)
State: [[1, 2, 4], [6, 3, 7], [5, 8, 9]] Level: 3 F-value:(8, 5)
State: [[3, 2, 4], [6, 1, 7], [5, 8, 9]] Level: 2 F-value:(8, 6)
State: [[6, 2, 4], [5, 1, 7], [3, 8, 9]] Level: 2 F-value:(8, 6)
State: [[6, 2, 4], [1, 5, 7], [3, 8, 9]] Level: 3 F-value:(8, 5)
State: [[1, 2, 4], [6, 5, 7], [3, 8, 9]] Level: 4 F-value:(8, 4)
State: [[6, 2, 7], [3, 1, 4], [5, 8, 9]] Level: 2 F-value:(8, 6)
State: [[6, 1, 2], [3, 4, 7], [5, 8, 9]] Level: 1 F-value:(8, 7)
State: [[6, 2, 1], [3, 4, 7], [5, 8, 9]] Level: 2 F-value:(8, 6)
State: [[6, 2, 1], [4, 3, 7], [5, 8, 9]] Level: 3 F-value:(8, 5)
State: [[6, 1, 2], [4, 3, 7], [5, 8, 9]] Level: 2 F-value:(8, 6)
State: [[1, 6, 2], [4, 3, 7], [5, 8, 9]] Level: 3 F-value:(8, 5)
State: [[1, 2, 6], [4, 3, 7], [5, 8, 9]] Level: 4 F-value:(8, 4)
State: [[1, 2, 7], [4, 3, 6], [5, 8, 9]] Level: 5 F-value:(8, 3)
State: [[1, 6, 2], [3, 4, 7], [5, 8, 9]] Level: 2 F-value:(8, 6)
State: [[1, 2, 6], [3, 4, 7], [5, 8, 9]] Level: 3 F-value:(8, 5)
State: [[1, 2, 7], [3, 4, 6], [5, 8, 9]] Level: 4 F-value:(8, 4)
State: [[3, 4, 2], [6, 1, 7], [5, 8, 9]] Level: 1 F-value:(8, 7)
State: [[4, 6, 2], [3, 1, 7], [5, 8, 9]] Level: 1 F-value:(8, 7)
State: [[4, 2, 6], [3, 1, 7], [5, 8, 9]] Level: 2 F-value:(8, 6)
