Solution Path:
State: [[9, 8, 6], [5, 2, 3], [4, 1, 7]] Level: 0 F-value:(9, 9)
State: [[9, 8, 3], [5, 2, 6], [4, 1, 7]] Level: 1 F-value:(8, 7)
State: [[9, 2, 3], [5, 8, 6], [4, 1, 7]] Level: 2 F-value:(8, 6)
State: [[9, 2, 3], [5, 1, 6], [4, 8, 7]] Level: 3 F-value:(8, 5)
State: [[9, 2, 3], [1, 5, 6], [4, 8, 7]] Level: 4 F-value:(8, 4)
State: [[1, 2, 3], [9, 5, 6], [4, 8, 7]] Level: 5 F-value:(8, 3)
State: [[1, 2, 3], [4, 5, 6], [9, 8, 7]] Level: 6 F-value:(8, 2)
State: [[1, 2, 3], [4, 5, 6], [8, 9, 7]] Level: 7 F-value:(10, 3)
State: [[1, 2, 3], [4, 5, 6], [8, 7, 9]] Level: 8 F-value:(10, 2)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 9 F-value:(9, 0)
Time taken: 0.6799991130828857
