Search Path:
State: [[1, 6, 7], [9, 5, 8], [3, 4, 2]] Level: 0 F-value:(21, 21)
State: [[1, 6, 7], [9, 5, 2], [3, 4, 8]] Level: 1 F-value:(17, 16)
State: [[1, 6, 2], [9, 5, 7], [3, 4, 8]] Level: 2 F-value:(15, 13)
State: [[1, 6, 2], [3, 5, 7], [9, 4, 8]] Level: 3 F-value:(11, 8)
State: [[1, 2, 6], [3, 5, 7], [9, 4, 8]] Level: 4 F-value:(11, 7)
State: [[1, 2, 6], [3, 4, 7], [9, 5, 8]] Level: 5 F-value:(11, 6)
State: [[1, 2, 6], [3, 4, 7], [5, 9, 8]] Level: 6 F-value:(11, 5)
State: [[1, 2, 6], [3, 4, 7], [5, 8, 9]] Level: 7 F-value:(11, 4)
State: [[1, 2, 6], [3, 5, 7], [4, 9, 8]] Level: 5 F-value:(11, 6)
State: [[1, 2, 6], [3, 5, 7], [4, 8, 9]] Level: 6 F-value:(11, 5)
State: [[1, 6, 2], [3, 5, 7], [4, 9, 8]] Level: 4 F-value:(11, 7)
State: [[1, 6, 2], [3, 5, 7], [4, 8, 9]] Level: 5 F-value:(11, 6)
State: [[1, 5, 2], [3, 6, 7], [4, 8, 9]] Level: 6 F-value:(11, 5)
State: [[1, 2, 5], [3, 6, 7], [4, 8, 9]] Level: 7 F-value:(11, 4)
State: [[1, 5, 2], [3, 6, 7], [4, 9, 8]] Level: 5 F-value:(11, 6)
State: [[1, 2, 5], [3, 6, 7], [4, 9, 8]] Level: 6 F-value:(11, 5)
State: [[1, 5, 2], [3, 6, 7], [9, 4, 8]] Level: 4 F-value:(11, 7)
State: [[1, 2, 5], [3, 6, 7], [9, 4, 8]] Level: 5 F-value:(11, 6)
State: [[1, 2, 5], [3, 4, 7], [9, 6, 8]] Level: 6 F-value:(11, 5)
State: [[1, 2, 5], [3, 4, 7], [6, 9, 8]] Level: 7 F-value:(11, 4)
State: [[1, 2, 5], [3, 4, 7], [6, 8, 9]] Level: 8 F-value:(11, 3)
State: [[1, 5, 2], [3, 4, 7], [9, 6, 8]] Level: 5 F-value:(11, 6)
State: [[1, 5, 2], [3, 4, 7], [6, 9, 8]] Level: 6 F-value:(11, 5)
State: [[1, 5, 2], [3, 4, 7], [6, 8, 9]] Level: 7 F-value:(11, 4)
State: [[1, 4, 2], [3, 5, 7], [6, 8, 9]] Level: 8 F-value:(11, 3)
State: [[1, 2, 4], [3, 5, 7], [6, 8, 9]] Level: 9 F-value:(11, 2)
State: [[1, 4, 2], [3, 5, 7], [6, 9, 8]] Level: 7 F-value:(11, 4)
State: [[1, 2, 4], [3, 5, 7], [6, 9, 8]] Level: 8 F-value:(11, 3)
State: [[1, 4, 2], [3, 5, 7], [9, 6, 8]] Level: 6 F-value:(11, 5)
State: [[1, 2, 4], [3, 5, 7], [9, 6, 8]] Level: 7 F-value:(11, 4)
State: [[1, 6, 2], [3, 4, 7], [9, 5, 8]] Level: 4 F-value:(11, 7)
State: [[1, 6, 2], [3, 4, 7], [5, 9, 8]] Level: 5 F-value:(11, 6)
State: [[1, 6, 2], [3, 4, 7], [5, 8, 9]] Level: 6 F-value:(11, 5)
State: [[1, 4, 2], [3, 6, 7], [5, 8, 9]] Level: 7 F-value:(11, 4)
State: [[1, 2, 4], [3, 6, 7], [5, 8, 9]] Level: 8 F-value:(11, 3)
State: [[1, 4, 2], [3, 6, 7], [5, 9, 8]] Level: 6 F-value:(11, 5)
State: [[1, 2, 4], [3, 6, 7], [5, 9, 8]] Level: 7 F-value:(11, 4)
State: [[1, 4, 2], [3, 6, 7], [9, 5, 8]] Level: 5 F-value:(11, 6)
State: [[1, 2, 4], [3, 6, 7], [9, 5, 8]] Level: 6 F-value:(11, 5)
State: [[1, 2, 4], [5, 3, 7], [6, 8, 9]] Level: 10 F-value:(13, 3)
State: [[2, 1, 4], [3, 5, 7], [6, 8, 9]] Level: 10 F-value:(13, 3)
State: [[1, 2, 4], [3, 7, 5], [6, 8, 9]] Level: 10 F-value:(13, 3)
State: [[1, 2, 4], [3, 5, 7], [8, 6, 9]] Level: 10 F-value:(13, 3)
State: [[2, 1, 4], [3, 5, 7], [6, 9, 8]] Level: 9 F-value:(13, 4)
State: [[1, 2, 4], [5, 3, 7], [6, 9, 8]] Level: 9 F-value:(13, 4)
State: [[1, 2, 4], [3, 7, 5], [6, 9, 8]] Level: 9 F-value:(13, 4)
State: [[1, 4, 2], [5, 3, 7], [6, 8, 9]] Level: 9 F-value:(13, 4)
State: [[1, 3, 2], [5, 4, 7], [6, 8, 9]] Level: 10 F-value:(13, 3)
