Search Path:
State: [[5, 6, 3], [8, 4, 2], [1, 9, 7]] Level: 0 F-value:(7.0, 7.0)
State: [[5, 6, 3], [1, 4, 2], [8, 9, 7]] Level: 1 F-value:(7.0, 6.0)
State: [[1, 6, 3], [5, 4, 2], [8, 9, 7]] Level: 2 F-value:(7.0, 5.0)
State: [[1, 6, 3], [4, 5, 2], [8, 9, 7]] Level: 3 F-value:(7.0, 4.0)
State: [[1, 6, 3], [4, 5, 2], [8, 7, 9]] Level: 4 F-value:(7.0, 3.0)
State: [[1, 6, 3], [4, 5, 2], [7, 8, 9]] Level: 5 F-value:(7.0, 2.0)
State: [[1, 6, 3], [5, 4, 2], [8, 7, 9]] Level: 3 F-value:(7.0, 4.0)
State: [[1, 6, 3], [5, 4, 2], [7, 8, 9]] Level: 4 F-value:(7.0, 3.0)
State: [[5, 6, 3], [1, 4, 2], [8, 7, 9]] Level: 2 F-value:(7.0, 5.0)
State: [[5, 6, 3], [1, 4, 2], [7, 8, 9]] Level: 3 F-value:(7.0, 4.0)
State: [[5, 6, 3], [4, 8, 2], [1, 9, 7]] Level: 1 F-value:(7.0, 6.0)
State: [[5, 6, 3], [4, 8, 2], [1, 7, 9]] Level: 2 F-value:(7.0, 5.0)
State: [[5, 6, 3], [8, 4, 2], [1, 7, 9]] Level: 1 F-value:(7.0, 6.0)
State: [[1, 5, 3], [4, 6, 2], [7, 8, 9]] Level: 6 F-value:(8.0, 2.0)
State: [[1, 5, 3], [4, 2, 6], [7, 8, 9]] Level: 7 F-value:(8.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 8 F-value:(8.0, 0.0)
Time taken: 0.039002180099487305
