Solution Path:
State: [[7, 1, 8], [9, 5, 4], [3, 2, 6]] Level: 0 F-value:(9.0, 9.0)
State: [[7, 1, 8], [3, 5, 4], [9, 2, 6]] Level: 1 F-value:(9.0, 8.0)
State: [[3, 1, 8], [7, 5, 4], [9, 2, 6]] Level: 2 F-value:(9.0, 7.0)
State: [[1, 3, 8], [7, 5, 4], [9, 2, 6]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 3, 4], [7, 5, 8], [9, 2, 6]] Level: 4 F-value:(10.0, 6.0)
State: [[1, 4, 3], [7, 5, 8], [9, 2, 6]] Level: 5 F-value:(10.0, 5.0)
State: [[1, 4, 3], [7, 5, 6], [9, 2, 8]] Level: 6 F-value:(10.0, 4.0)
State: [[1, 4, 3], [7, 5, 6], [2, 9, 8]] Level: 7 F-value:(11.0, 4.0)
State: [[1, 4, 3], [2, 5, 6], [7, 9, 8]] Level: 8 F-value:(11.0, 3.0)
State: [[1, 4, 3], [2, 5, 6], [7, 8, 9]] Level: 9 F-value:(11.0, 2.0)
State: [[2, 4, 3], [1, 5, 6], [7, 8, 9]] Level: 10 F-value:(12.0, 2.0)
State: [[4, 2, 3], [1, 5, 6], [7, 8, 9]] Level: 11 F-value:(12.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 12 F-value:(12.0, 0.0)
Time taken: 49.24700379371643
