Solution Path:
State: [[8, 5, 1], [4, 7, 3], [2, 6, 9]] Level: 0 F-value:(17, 17)
State: [[8, 5, 1], [2, 7, 3], [4, 6, 9]] Level: 1 F-value:(15, 14)
State: [[2, 5, 1], [8, 7, 3], [4, 6, 9]] Level: 2 F-value:(13, 11)
State: [[2, 5, 1], [4, 7, 3], [8, 6, 9]] Level: 3 F-value:(11, 8)
State: [[2, 1, 5], [4, 7, 3], [8, 6, 9]] Level: 4 F-value:(11, 7)
State: [[2, 1, 3], [4, 7, 5], [8, 6, 9]] Level: 5 F-value:(9, 4)
State: [[1, 2, 3], [4, 7, 5], [8, 6, 9]] Level: 6 F-value:(9, 3)
State: [[1, 2, 3], [4, 6, 5], [8, 7, 9]] Level: 7 F-value:(9, 2)
State: [[1, 2, 3], [4, 5, 6], [8, 7, 9]] Level: 8 F-value:(9, 1)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 9 F-value:(9, 0)
Time taken: 0.02299666404724121
