((12, 4, 6, 13), (8, 9, 15, 2), (7, 5, 14, 1), (11, 3, 16, 10))
((3, 8, 14, 6), (7, 9, 4, 16), (1, 2, 12, 5), (15, 10, 11, 13))
((5, 7, 13, 11), (14, 2, 3, 6), (4, 15, 10, 9), (12, 8, 1, 16))
((2, 12, 7, 6), (11, 16, 15, 10), (5, 4, 13, 14), (9, 3, 8, 1))
((1, 13, 11, 7), (16, 5, 12, 2), (4, 14, 10, 9), (6, 8, 3, 15))
((12, 14, 13, 16), (5, 1, 6, 11), (3, 10, 8, 9), (7, 15, 4, 2))
((10, 14, 13, 2), (11, 7, 15, 5), (6, 1, 12, 9), (16, 8, 4, 3))
((13, 16, 9, 5), (10, 8, 12, 15), (7, 6, 14, 4), (1, 3, 11, 2))
((12, 10, 1, 4), (11, 16, 14, 9), (13, 3, 2, 7), (6, 5, 15, 8))
((4, 3, 6, 14), (5, 12, 9, 8), (10, 7, 11, 2), (1, 15, 16, 13))
((8, 10, 9, 6), (2, 16, 15, 7), (11, 3, 1, 12), (14, 5, 13, 4))
((5, 12, 14, 15), (9, 1, 11, 3), (16, 2, 10, 6), (7, 4, 13, 8))
((3, 7, 13, 16), (10, 12, 8, 15), (11, 6, 2, 5), (4, 14, 1, 9))
((13, 5, 2, 1), (4, 9, 11, 10), (3, 15, 12, 8), (14, 6, 7, 16))
((12, 6, 9, 4), (1, 14, 3, 5), (8, 13, 7, 15), (2, 10, 11, 16))
((15, 8, 12, 2), (11, 4, 5, 6), (10, 14, 16, 1), (3, 13, 9, 7))
((4, 13, 10, 12), (5, 1, 11, 9), (14, 8, 3, 15), (6, 7, 2, 16))
((11, 12, 7, 8), (14, 15, 9, 3), (10, 5, 13, 4), (6, 2, 16, 1))
((11, 8, 1, 13), (10, 15, 7, 16), (14, 4, 6, 12), (2, 5, 3, 9))
((2, 3, 11, 7), (9, 12, 5, 4), (15, 14, 8, 10), (6, 13, 16, 1))
